id,name
GSM11805.CEL.gz,kidney
GSM11814.CEL.gz,kidney
GSM11823.CEL.gz,kidney
GSM11830.CEL.gz,kidney
GSM12067.CEL.gz,kidney
GSM12075.CEL.gz,kidney
GSM12079.CEL.gz,kidney
GSM12098.CEL.gz,kidney
GSM12105.CEL.gz,kidney
GSM12268.CEL.gz,kidney
GSM12270.CEL.gz,kidney
GSM12283.CEL.gz,kidney
GSM12298.CEL.gz,kidney
GSM12300.CEL.gz,kidney
GSM12399.CEL.gz,kidney
GSM12444.CEL.gz,kidney
GSM21203.cel.gz,hippocampus
GSM21204.cel.gz,hippocampus
GSM21205.cel.gz,hippocampus
GSM21206.cel.gz,hippocampus
GSM21207.cel.gz,hippocampus
GSM21208.cel.gz,hippocampus
GSM21209.cel.gz,hippocampus
GSM21210.cel.gz,hippocampus
GSM21212.cel.gz,hippocampus
GSM21213.cel.gz,hippocampus
GSM21214.cel.gz,hippocampus
GSM21215.cel.gz,hippocampus
GSM21216.cel.gz,hippocampus
GSM21217.cel.gz,hippocampus
GSM21218.cel.gz,hippocampus
GSM21219.cel.gz,hippocampus
GSM21220.cel.gz,hippocampus
GSM21221.cel.gz,hippocampus
GSM21222.cel.gz,hippocampus
GSM21223.cel.gz,hippocampus
GSM21224.cel.gz,hippocampus
GSM21225.cel.gz,hippocampus
GSM21226.cel.gz,hippocampus
GSM21227.cel.gz,hippocampus
GSM21228.cel.gz,hippocampus
GSM21229.cel.gz,hippocampus
GSM21230.cel.gz,hippocampus
GSM21231.cel.gz,hippocampus
GSM21232.cel.gz,hippocampus
GSM21233.cel.gz,hippocampus
GSM87058.cel.gz,cerebellum
GSM87064.cel.gz,cerebellum
GSM87065.cel.gz,cerebellum
GSM87066.cel.gz,cerebellum
GSM87071.cel.gz,cerebellum
GSM87072.cel.gz,cerebellum
GSM87073.cel.gz,cerebellum
GSM87074.cel.gz,cerebellum
GSM87075.cel.gz,cerebellum
GSM87085.cel.gz,cerebellum
GSM87086.cel.gz,cerebellum
GSM87087.cel.gz,cerebellum
GSM87088.cel.gz,cerebellum
GSM87089.cel.gz,cerebellum
GSM87090.CEL.gz,cerebellum
GSM87091.cel.gz,cerebellum
GSM87092.cel.gz,cerebellum
GSM87093.cel.gz,cerebellum
GSM87094.cel.gz,cerebellum
GSM87095.cel.gz,cerebellum
GSM87096.cel.gz,cerebellum
GSM87097.cel.gz,cerebellum
GSM87098.cel.gz,cerebellum
GSM87099.cel.gz,cerebellum
GSM87100.cel.gz,cerebellum
GSM87101.cel.gz,cerebellum
GSM87102.cel.gz,cerebellum
GSM146778.CEL.gz,kidney
GSM146779.CEL.gz,kidney
GSM146781.CEL.gz,kidney
GSM146782.CEL.gz,kidney
GSM146783.CEL.gz,kidney
GSM146785.CEL.gz,kidney
GSM146787.CEL.gz,kidney
GSM146788.CEL.gz,kidney
GSM146789.CEL.gz,kidney
GSM146791.CEL.gz,kidney
GSM146793.CEL.gz,kidney
GSM146795.CEL.gz,kidney
GSM146797.CEL.gz,kidney
GSM92240.CEL.gz,colon
